name,primary_groups,secondary_groups
Band-Assisted Bench Press,"['Chest', 'Front Deltoid']",['Triceps']
Bar Dip,"['Chest', 'Front Deltoid']",['Triceps']
Bench Press,"['Chest', 'Front Deltoid']",['Triceps']
Bench Press Against Band ,"['Chest', 'Front Deltoid']",['Triceps']
Board Press,"['Chest', 'Front Deltoid']",['Triceps']
Cable Chest Press,['Chest'],"['Front Deltoid', 'Triceps']"
Close-Grip Bench Press,['Triceps'],"['Chest', 'Front Deltoid']"
Close-Grip Feet-Up Bench Press,['Triceps'],"['Chest', 'Front Deltoid']"
Decline Bench Press,['Chest'],"['Triceps', 'Front Deltoid ']"
Decline Push-Up,"['Chest', 'Front Deltoid']","['Triceps', 'Abs']"
Dumbbell Chest Fly,['Chest'],['Front Deltoid']
Dumbbell Chest Press,"['Chest', 'Front Deltoid']",['Triceps']
Dumbbell Decline Chest Press,"['Chest', 'Front Deltoid']",['Triceps']
Dumbbell Floor Press,"['Chest', 'Front Deltoid']",['Triceps']
Dumbbell Pullover,['Chest'],['Lats']
Feet-Up Bench Press,"['Chest', 'Front Deltoid']",['Triceps']
Floor Press,"['Chest', 'Front Deltoid']",['Triceps']
Incline Bench Press,"['Chest', 'Front Deltoid']",['Triceps']
Incline Dumbbell Press,"['Chest', 'Front Deltoid']",['Triceps']
Incline Push-Up,"['Chest', 'Front Deltoid']","['Triceps', 'Abs']"
Kettlebell Floor Press,"['Chest', 'Front Deltoid']",['Triceps']
Kneeling Incline Push-Up,"['Chest', 'Front Deltoid']","['Triceps', 'Abs']"
Kneeling Push-Up,"['Chest', 'Front Deltoid']","['Triceps', 'Abs']"
Machine Chest Fly,['Chest'],['Front Deltoid']
Machine Chest Press,"['Chest', 'Front Deltoid']",['Triceps']
Pec Deck,['Chest'],['Front Deltoid']
Pin Bench Press,"['Chest', 'Front Deltoid']",['Triceps']
Push-Up,"['Chest', 'Front Deltoid']","['Triceps', 'Abs']"
Push-Up Against Wall,"['Chest', 'Front Deltoid']","['Triceps', 'Abs']"
Push-Ups With Feet in Rings,"['Chest', 'Front Deltoid']","['Triceps', 'Abs']"
Resistance Band Chest Fly,['Chest'],['Front Deltoid']
Smith Machine Bench Press,"['Chest', 'Front Deltoid']",['Triceps']
Smith Machine Incline Bench Press,"['Chest', 'Front Deltoid']",['Triceps']
Standing Cable Chest Fly,['Chest'],['Front Deltoid']
Standing Resistance Band Chest Fly,['Chest'],['Front Deltoid']
name,primary_groups,secondary_groups
Band External Shoulder Rotation,['Rotator Cuff (posterior)'],[]
Band Internal Shoulder Rotation,['Rotator Cuff (anterior)'],[]
Band Pull-Apart,"['Rear Deltoid', 'Rotator Cuff']",['Trapezius']
Barbell Front Raise,['Front Deltoid'],['Lateral Deltoid']
Barbell Rear Delt Row,"['Rear Deltoid', 'Trapezius']","['Rotator Cuff', 'Biceps', 'Forearm Flexors']"
Barbell Upright Row,['Lateral Deltoid'],"['Front Deltoid', 'Trapezius', 'Biceps']"
Behind the Neck Press,"['Front Deltoid', 'Lateral Deltoid']","['Trapezius', 'Triceps']"
Cable Lateral Raise,['Lateral Deltoid'],['Front Deltoid']
Cable Rear Delt Row,"['Rear Deltoid', 'Rotator Cuff']","['Trapezius', 'Biceps']"
Dumbbell Front Raise,['Front Deltoid'],['Lateral Deltoid']
Dumbbell Horizontal Internal Shoulder Rotation,['Rotator Cuff (anterior)'],[]
Dumbbell Horizontal External Shoulder Rotation,['Rotator Cuff (posterior)'],[]
Dumbbell Lateral Raise,['Lateral Deltoid'],['Front Deltoid']
Dumbbell Rear Delt Row,"['Rear Deltoid', 'Trapezius']","['Rotator Cuff', 'Biceps', 'Forearm Flexors']"
Dumbbell Shoulder Press,['Front Deltoid'],"['Triceps', 'Lateral Deltoid']"
Face Pull,"['Rear Deltoid', 'Rotator Cuff']","['Trapezius', 'Lateral Deltoid']"
Front Hold,['Front Deltoid'],['Lateral Deltoid']
Lying Dumbbell External Shoulder Rotation,['Rotator Cuff (posterior)'],[]
Lying Dumbbell Internal Shoulder Rotation,['Rotator Cuff (anterior)'],[]
Machine Lateral Raise,['Lateral Deltoid'],['Front Deltoid']
Machine Shoulder Press,['Front Deltoid'],"['Triceps', 'Lateral Deltoid']"
Monkey Row,['Lateral Deltoid'],"['Rear Deltoid', 'Trapezius', 'Biceps']"
Overhead Press,['Front Deltoid'],"['Triceps', 'Lateral Deltoid']"
Plate Front Raise,['Front Deltoid'],['Lateral Deltoid']
Power Jerk,['Front Deltoid'],"['Quads', 'Glutes', 'Adductors', 'Lower Back', 'Trapezius', 'Triceps', 'Lateral Deltoid']"
Push Press,['Front Deltoid'],"['Quads', 'Glutes', 'Adductors', 'Lower Back', 'Trapezius', 'Triceps', 'Lateral Deltoid']"
